,t,θ,dθ,ddθ,trq,w1,w2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002,-0.00012674772002458737,9.271580579527833e-05,0.08035527379759132,0.0001198041671404423,-4.118822373339974e-08,-4.671595285334203e-08
2,0.004,-0.0004881037225188286,0.000282942503139342,0.10334725207750706,0.0001639957414289626,-2.694434007905827e-07,-3.056321443103178e-07
3,0.006,-0.0010568754481155007,0.00048553283937987214,0.09636067238017294,0.00016763319614504987,-7.464018014194875e-07,-8.46747126080405e-07
4,0.008,-0.0018073465278117512,0.0006591289436417665,0.07650311113634681,0.0001528910540838303,-1.4577908647292523e-06,-1.654021313550488e-06
5,0.01,-0.0027152260375854784,0.0007890684875104287,0.053871666419870665,0.00013311283432634018,-2.3560005331846194e-06,-2.673646737730214e-06
6,0.012,-0.0037575989121738864,0.0008758903199915769,0.033931978379114255,0.00011577209051506165,-3.385548460663182e-06,-3.842915121244688e-06
7,0.014,-0.004912877500837458,0.0009278800750536685,0.019216135444516367,0.00010459706138266051,-4.496959206712329e-06,-5.10594755306196e-06
8,0.016,-0.0061607542480824635,0.0009564682476333412,0.010506367653406826,0.00010106252336103141,-5.653282689391554e-06,-6.421079013363091e-06
9,0.018000000000000002,-0.007482155482463749,0.0009735917087480145,0.007637441330725091,0.00010541125733428945,-6.8322023903670575e-06,-7.76324434144337e-06
10,0.02,-0.008859196296738212,0.000990365681177143,0.010022081694120675,0.00011733293486363333,-8.025737311544911e-06,-9.12363831142083e-06
11,0.022,-0.010275136502786771,0.0010165971444196706,0.01698007178184252,0.0001363995783795317,-9.23885315867316e-06,-1.050814139459287e-05
12,0.024,-0.011714337644870445,0.001060811713491908,0.02793232529693622,0.0001623333288727776,-1.0487809349342841e-05,-1.1935448294258586e-05
13,0.026000000000000002,-0.013162221054931877,0.0011305722881079672,0.042505613326665116,0.00019516332693788861,-1.1798731482558737e-05,-1.3435454239039833e-05
14,0.028,-0.014605226933801141,0.0012329460838783944,0.06058117765278983,0.00023531338553729075,-1.3206675297462845e-05,-1.5048200527977155e-05
15,0.03,-0.016030774442308233,0.0013750328481862072,0.08231067586068332,0.00028365018118151986,-1.4755307116480706e-05,-1.6823521004982827e-05
16,0.032,-0.017427222786451747,0.0015645059821785727,0.10811532457134389,0.0003415123671363023,-1.6497243088093865e-05,-1.8821437510475993e-05
17,0.034,-0.01878383328091565,0.001810143947277718,0.1386783450588268,0.00041073384648150895,-1.8495046436804382e-05,-2.1113303606867226e-05
18,0.036000000000000004,-0.020090732375371557,0.0021223450139322446,0.17493653403922652,0.0004936690334553643,-2.082286409799809e-05,-2.3783675786645938e-05
19,0.038,-0.0213388756281452,0.002513626775432918,0.21807369524123696,0.0005932239401622678,-2.35686809283924e-05,-2.6932887885384877e-05
20,0.04,-0.02252001261197079,0.0029991150372876223,0.26951653247743595,0.0007128940688424161,-2.683717345953067e-05,-3.068030882901071e-05
21,0.042,-0.02362665273669699,0.003597026395672823,0.3309322188656605,0.0008568081310293327,-3.075315058326259e-05,-3.516827011396801e-05
22,0.044,-0.02465203197395044,0.004329146357610073,0.4042260497317431,0.0010297753581258728,-3.546557216355066e-05,-4.056665362633596e-05
23,0.046,-0.025590080468904614,0.0052213012418899744,0.491537217716363,0.0012373334518420514,-4.11521363363316e-05,-4.7078130258437905e-05
24,0.048,-0.026435391024440185,0.006303818088846857,0.5952307018960556,0.0014857939156121415,-4.802442125715305e-05,-5.494403422169315e-05
25,0.05,-0.027183188443125023,0.007611962945202669,0.7178834441528862,0.0017822815027802657,-5.633355715729172e-05,-6.44508468356071e-05
26,0.052000000000000005,-0.027829299712579626,0.009186344554377474,0.8622633197946845,0.002134764728307145,-6.637639021551322e-05,-7.59372473936755e-05
27,0.054,-0.02837012501993302,0.011073267914881217,1.0312998355261658,0.0025520747502421936,-7.850208176883771e-05,-8.98016683986269e-05
28,0.056,-0.028802609581212085,0.013325020505137319,1.228045959477796,0.0030439103822304334,-9.311906582817923e-05,-0.0001065102692157496
29,0.058,-0.029124216271645253,0.016000073265910613,1.4556309693380975,0.003620827508126312,-0.0001107022659055012,-0.000126605217338551
30,0.06,-0.02933289904299759,0.019163178672648242,1.7172046689876674,0.004294211703455351,-0.0001318004499959982,-0.0001507131413494628
31,0.062,-0.029427077114191364,0.02288534936528305,2.015873752080852,0.005076233403015017,-0.0001570435813483934,-0.0001795535955969865
32,0.064,-0.02940560992160156,0.0272437027453321,2.354631469287054,0.005979785472401167,-0.00018715000346539078,-0.00021394735480523416
33,0.066,-0.029267772815551287,0.03232115959072796,2.7362820755703394,0.007018403531472688,-0.0002229332815472611,-0.00025482433834787507
34,0.068,-0.0290132334896668,0.03820598795467302,3.163361789712609,0.008206169830924896,-0.0002653085101205313,-0.000303230949656255
35,0.07,-0.028642029129884825,0.04499118727569636,3.638058187732081,0.009557601892889943,-0.0003152978885167701,-0.0003603366069105066
36,0.07200000000000001,-0.02815454427004044,0.05277371159856752,4.162130074590831,0.011087527488397276,-0.0003740353626528347,-0.000427439237314428
37,0.074,-0.02755148934109443,0.061653534957450434,4.736829935657861,0.012810947835112317,-0.00044277013351501343,-0.0005059695092219941
38,0.076,-0.026833879901193052,0.07173256617489819,5.3628310633187395,0.01474289115577241,-0.0005228688400014203,-0.0005974935843215856
39,0.078,-0.026003016533884243,0.08311342445974033,6.040161388226684,0.0168982589393212,-0.0006158162363065604,-0.0007037141859697626
40,0.08,-0.025060465401945137,0.09589809112851572,6.768145923092765,0.019291667391658437,-0.0007232142016651872,-0.0008264697994061386
41,0.082,-0.024008039444407502,0.1101864564221738,7.545359554728764,0.021937286650884458,-0.0008467789426950231,-0.0009677318446229033
42,0.084,-0.022847780204496564,0.12607478364675903,8.369591702595029,0.024848680372678823,-0.0009883362753474417,-0.0011295996926110696
43,0.08600000000000001,-0.02158194027632893,0.1436541156494347,9.237824105799799,0.028038648266224313,-0.001149814904035824,-0.0013142934299366117
