時間,ひずみ電圧[1mm],先端の変位[1mm],ひずみ電圧[0.8mm],先端の変位[0.8mm],トルク[ノイズカット]
0,0.004577637,0.000150146,0.004272461,0.000175171,-0.00018188
0.002000008,0.00213623,7.00683E-05,0.000610352,2.50244E-05,0.00564697
0.004000016,0.004882813,0.000160156,-0.00213623,-8.75854E-05,-0.013005371
0.006000024,0.003967285,0.000130127,-0.001220703,-5.00488E-05,0.00292684
0.008000032,0.007629395,0.000250244,-0.002746582,-0.00011261,0.01652751
0.01,0.01068115,0.000350342,0.003356934,0.000137634,-0.00523356
0.01200001,0.006713867,0.000220215,-0.005187988,-0.000212708,0.0005953
0.01400002,0.001220703,4.00391E-05,0.004577637,0.000187683,0.02663086
0.01600002,-0.001525879,-5.00488E-05,0.004577637,0.000187683,0.01769328
0.01800003,0.02075195,0.000680664,0.0112915,0.000462952,-0.011062419
0.02,0.003662109,0.000120117,0.003356934,0.000137634,0.02313354
0.02200001,0.00213623,7.00683E-05,-0.001525879,-6.2561E-05,-0.013005371
0.02400002,0.001220703,4.00391E-05,0.003051758,0.000125122,0.03634562
0.02600002,-0.003662109,-0.000120117,0.001220703,5.00488E-05,0.01497314
0.02800003,0.000915527,3.00293E-05,-0.001831055,-7.50733E-05,0.03595703
0.03,-0.008544922,-0.000280273,0.003967285,0.000162659,0.0044812
0.03200001,0.000610352,2.00195E-05,0.02105713,0.000863342,0.00953288
0.03400002,0.003051758,0.000100098,0.002441406,0.000100098,0.03867716
0.03600002,-0.001831055,-6.00586E-05,-0.000915527,-3.75366E-05,-0.00717651
0.03800003,0.01983643,0.000650635,0.003967285,0.000162659,0.020802
0.04,-0.005493164,-0.000180176,0.004272461,0.000175171,0.00525838
0.04200001,-0.00579834,-0.000190186,0.006713867,0.000275269,0.02313354
0.04400002,-0.003662109,-0.000120117,0.005493164,0.00022522,-0.00212484
0.04600002,-0.00213623,-7.00683E-05,0.005187988,0.000212708,0.04100871
0.04800003,0.001831055,6.00586E-05,0,0,0.03751139
0.05,0.01037598,0.000340332,-0.001831055,-7.50733E-05,0.02468791
0.05200001,0.000915527,3.00293E-05,-0.002441406,-0.000100098,0.01497314
0.05400002,0.003051758,0.000100098,-0.000305176,-1.25122E-05,0.04878052
0.05600002,-0.006103516,-0.000200195,-0.004882813,-0.000200195,0.01963623
0.05800003,-0.02716064,-0.000890869,0.000610352,2.50244E-05,0.03595703
0.06,-0.004577637,-0.000150146,0.001831055,7.50733E-05,0.04256307
0.06200001,-0.0177002,-0.000580567,-0.01831055,-0.000750733,0.06199259
0.06400002,-0.007629395,-0.000250244,0,0,0.05499797
0.06600002,-0.01434326,-0.000470459,-0.007629395,-0.000312805,0.06199259
0.06800003,-0.02044678,-0.000670654,-0.01586914,-0.000650635,0.03517985
0.07,-0.03204346,-0.001051025,-0.02868652,-0.001176147,0.0895825
0.07200001,-0.04577637,-0.001501465,-0.04516602,-0.001851807,0.0876396
0.07400002,-0.05767822,-0.001891846,-0.0592041,-0.002427368,0.1070691
0.07600002,-0.05401611,-0.001771728,-0.06866455,-0.002815247,0.06043823
0.07800003,-0.06713867,-0.002202148,-0.08728027,-0.003578491,0.0864738
0.08,-0.09613037,-0.003153076,-0.09857178,-0.004041443,0.1132865
0.08200001,-0.1132202,-0.003713623,-0.1116943,-0.004579466,0.0961886
0.08400002,-0.1330566,-0.004364256,-0.1223755,-0.005017396,0.06315837
0.08600002,-0.1641846,-0.005385255,-0.1403809,-0.005755617,0.0969657
0.08800003,-0.1617432,-0.005305177,-0.1544189,-0.006331175,0.0876396
0.09,-0.1846313,-0.006055907,-0.1748657,-0.007169494,0.1016288
0.09200001,-0.1992798,-0.006536377,-0.1934814,-0.007932737,0.1062919
0.09400002,-0.2212524,-0.007257079,-0.2127075,-0.008721008,0.1334932
0.09600002,-0.2313232,-0.007587401,-0.2328491,-0.009546813,0.1474825
0.09800003,-0.246582,-0.00808789,-0.2523804,-0.010347596,0.1253328
0.1,-0.2740479,-0.008988771,-0.2700806,-0.011073305,0.1187268
0.102,-0.2786255,-0.009138916,-0.2874756,-0.0117865,0.1661348
0.104,-0.3106689,-0.01018994,-0.3042603,-0.012474672,0.1797355
